ID;Workclass;education;marital-status;occupation;relationship;race;sex
15955;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
15956;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
15957;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
15958;Private;Some-college;Never-married;Prof-specialty;Not-in-family;White;Female
15959;Self-emp-not-inc;Some-college;Never-married;Exec-managerial;Not-in-family;Black;Male
15960;Self-emp-not-inc;HS-grad;Divorced;Prof-specialty;Not-in-family;White;Female
15961;?;HS-grad;Widowed;?;Not-in-family;White;Female
15962;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
15963;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
15964;Private;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male
15965;Private;Bachelors;Divorced;Prof-specialty;Unmarried;White;Female
15966;Private;Masters;Divorced;Prof-specialty;Own-child;White;Female
15967;Private;HS-grad;Separated;Other-service;Unmarried;White;Female
15968;Private;HS-grad;Married-civ-spouse;Protective-serv;Husband;Asian-Pac-Islander;Male
15969;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
15970;Private;HS-grad;Never-married;Other-service;Own-child;White;Male
15971;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
15972;Self-emp-not-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
15973;Private;Some-college;Never-married;Sales;Not-in-family;White;Female
15974;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male
15975;Private;Bachelors;Divorced;Transport-moving;Own-child;Black;Male
15976;Private;Some-college;Never-married;Protective-serv;Not-in-family;White;Male
15977;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
15978;Private;HS-grad;Divorced;Sales;Not-in-family;White;Female
15979;Private;Some-college;Never-married;Exec-managerial;Own-child;Asian-Pac-Islander;Male
15980;Private;12th;Married-civ-spouse;Exec-managerial;Husband;White;Male
15981;Private;Some-college;Never-married;Sales;Own-child;White;Female
15982;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
15983;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Female
15984;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Wife;White;Female
15985;Local-gov;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male
15986;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
15987;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female
15988;Private;10th;Never-married;Other-service;Other-relative;White;Female
15989;Local-gov;Masters;Never-married;Prof-specialty;Not-in-family;Other;Female
15990;Private;Some-college;Never-married;Other-service;Own-child;White;Male
15991;Self-emp-not-inc;9th;Never-married;Prof-specialty;Not-in-family;White;Male
15992;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
15993;Private;HS-grad;Separated;Handlers-cleaners;Not-in-family;Other;Male
15994;Local-gov;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
15995;Private;Bachelors;Married-civ-spouse;Craft-repair;Husband;White;Male
15996;Private;HS-grad;Widowed;Machine-op-inspct;Other-relative;Black;Female
15997;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male
15998;Self-emp-inc;HS-grad;Widowed;Other-service;Unmarried;White;Female
15999;Federal-gov;Some-college;Married-civ-spouse;Exec-managerial;Husband;Black;Male
16000;?;HS-grad;Never-married;?;Not-in-family;White;Female
16001;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male
16002;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male
16003;Private;Bachelors;Divorced;Exec-managerial;Unmarried;White;Female
16004;Private;Some-college;Divorced;Other-service;Own-child;White;Female
16005;?;HS-grad;Divorced;?;Not-in-family;White;Male
16006;Private;HS-grad;Widowed;Other-service;Unmarried;White;Female
16007;Private;Bachelors;Never-married;Adm-clerical;Own-child;Asian-Pac-Islander;Female
16008;State-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Female
16009;State-gov;Bachelors;Separated;Exec-managerial;Not-in-family;White;Male
16010;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
16011;Private;Assoc-acdm;Married-civ-spouse;Sales;Wife;White;Female
16012;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female
16013;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male
16014;Private;Some-college;Widowed;Adm-clerical;Unmarried;Black;Female
16015;Private;7th-8th;Married-civ-spouse;Sales;Husband;White;Male
16016;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male
16017;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male
16018;Private;Assoc-acdm;Married-civ-spouse;Exec-managerial;Husband;Black;Male
16019;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16020;?;Assoc-voc;Divorced;?;Not-in-family;White;Male
16021;Private;7th-8th;Divorced;Machine-op-inspct;Unmarried;Black;Female
16022;Private;HS-grad;Never-married;Other-service;Not-in-family;Black;Female
16023;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
16024;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;Black;Male
16025;Private;Some-college;Separated;Sales;Not-in-family;White;Female
16026;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male
16027;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16028;Self-emp-not-inc;Some-college;Divorced;Handlers-cleaners;Own-child;White;Female
16029;Local-gov;Some-college;Married-spouse-absent;Exec-managerial;Unmarried;Black;Female
16030;State-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
16031;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male
16032;Private;HS-grad;Married-spouse-absent;Other-service;Unmarried;Black;Female
16033;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
16034;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Male
16035;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
16036;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Female
16037;Private;Masters;Never-married;Exec-managerial;Not-in-family;White;Female
16038;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16039;Private;11th;Never-married;Adm-clerical;Not-in-family;White;Female
16040;Local-gov;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male
16041;Self-emp-not-inc;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
16042;Private;Some-college;Never-married;Adm-clerical;Own-child;Black;Female
16043;Federal-gov;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Male
16044;Private;Assoc-acdm;Never-married;Prof-specialty;Own-child;White;Female
16045;Private;HS-grad;Divorced;Sales;Other-relative;White;Female
16046;Self-emp-inc;Assoc-voc;Never-married;Sales;Not-in-family;White;Male
16047;Private;HS-grad;Widowed;Sales;Not-in-family;White;Female
16048;Private;11th;Never-married;Other-service;Own-child;White;Male
16049;Private;7th-8th;Married-civ-spouse;Protective-serv;Husband;White;Male
16050;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female
16051;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
16052;Private;Prof-school;Never-married;Prof-specialty;Other-relative;White;Female
16053;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
16054;Private;Masters;Married-civ-spouse;Sales;Husband;White;Male
16055;State-gov;HS-grad;Never-married;Protective-serv;Not-in-family;White;Male
16056;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female
16057;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female
16058;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male
16059;Self-emp-not-inc;HS-grad;Married-civ-spouse;Tech-support;Husband;White;Male
16060;Private;HS-grad;Separated;Adm-clerical;Own-child;White;Female
16061;Local-gov;Bachelors;Widowed;Prof-specialty;Not-in-family;White;Female
16062;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
16063;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male
16064;?;HS-grad;Married-civ-spouse;?;Husband;White;Male
16065;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female
16066;?;5th-6th;Never-married;?;Not-in-family;White;Male
16067;Private;Bachelors;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16068;Private;HS-grad;Married-spouse-absent;Other-service;Unmarried;White;Female
16069;Private;HS-grad;Never-married;Machine-op-inspct;Not-in-family;Asian-Pac-Islander;Male
16070;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
16071;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male
16072;State-gov;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16073;Private;Some-college;Divorced;Transport-moving;Not-in-family;White;Male
16074;Self-emp-not-inc;11th;Married-civ-spouse;Transport-moving;Husband;White;Male
16075;Private;Some-college;Divorced;Exec-managerial;Unmarried;White;Female
16076;Private;Bachelors;Divorced;Transport-moving;Not-in-family;White;Male
16077;Private;1st-4th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
16078;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male
16079;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
16080;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
16081;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male
16082;State-gov;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female
16083;?;Bachelors;Never-married;?;Not-in-family;White;Male
16084;Self-emp-not-inc;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
16085;Private;Some-college;Never-married;Other-service;Own-child;White;Male
16086;State-gov;7th-8th;Never-married;Tech-support;Unmarried;White;Female
16087;Private;12th;Married-civ-spouse;Adm-clerical;Wife;White;Female
16088;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Male
16089;Private;Some-college;Divorced;Machine-op-inspct;Not-in-family;White;Male
16090;Private;Some-college;Never-married;Prof-specialty;Not-in-family;White;Female
16091;Private;10th;Married-spouse-absent;Adm-clerical;Unmarried;Black;Female
16092;Private;Some-college;Divorced;Exec-managerial;Unmarried;White;Female
16093;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female
16094;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female
16095;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16096;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male
16097;Private;10th;Never-married;Sales;Own-child;White;Female
16098;Private;Some-college;Divorced;Prof-specialty;Unmarried;White;Female
16099;Private;Some-college;Divorced;Handlers-cleaners;Not-in-family;White;Male
16100;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
16101;Federal-gov;Bachelors;Never-married;Tech-support;Not-in-family;White;Male
16102;Private;HS-grad;Divorced;Handlers-cleaners;Not-in-family;White;Male
16103;Private;Some-college;Divorced;Handlers-cleaners;Not-in-family;White;Male
16104;?;1st-4th;Married-civ-spouse;?;Husband;Asian-Pac-Islander;Male
16105;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
16106;State-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
16107;Private;Assoc-acdm;Married-civ-spouse;Transport-moving;Husband;White;Male
16108;Private;Bachelors;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
16109;Private;9th;Widowed;Craft-repair;Not-in-family;White;Male
16110;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
16111;Private;Some-college;Never-married;Other-service;Own-child;White;Male
16112;Federal-gov;Bachelors;Never-married;Armed-Forces;Not-in-family;White;Male
16113;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female
16114;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
16115;Private;7th-8th;Married-civ-spouse;Craft-repair;Husband;White;Male
16116;Private;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male
16117;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
16118;?;Some-college;Married-civ-spouse;?;Husband;Black;Male
16119;State-gov;Some-college;Divorced;Adm-clerical;Unmarried;Black;Male
16120;Private;Some-college;Divorced;Other-service;Own-child;White;Female
16121;Local-gov;Bachelors;Divorced;Craft-repair;Not-in-family;Black;Male
16122;Private;HS-grad;Never-married;Sales;Not-in-family;White;Male
16123;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
16124;?;9th;Never-married;?;Own-child;White;Male
16125;Private;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male
16126;Private;10th;Never-married;Other-service;Own-child;Black;Male
16127;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16128;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16129;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16130;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Female
16131;?;HS-grad;Never-married;?;Not-in-family;Other;Male
16132;Private;12th;Never-married;Other-service;Own-child;White;Female
16133;Private;Assoc-acdm;Divorced;Transport-moving;Not-in-family;Black;Male
16134;Local-gov;Bachelors;Never-married;Adm-clerical;Other-relative;Black;Female
16135;Private;Masters;Never-married;Other-service;Not-in-family;White;Female
16136;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;Black;Female
16137;?;11th;Married-civ-spouse;?;Husband;White;Male
16138;Private;Assoc-acdm;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16139;Private;7th-8th;Widowed;Sales;Other-relative;White;Female
16140;Self-emp-not-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male
16141;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Other-relative;Other;Female
16142;Local-gov;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
16143;Private;5th-6th;Married-civ-spouse;Other-service;Husband;White;Male
16144;Federal-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
16145;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Male
16146;Private;Masters;Married-civ-spouse;Sales;Husband;White;Male
16147;?;Some-college;Never-married;?;Own-child;White;Female
16148;Private;Assoc-voc;Divorced;Tech-support;Not-in-family;White;Female
16149;Self-emp-inc;HS-grad;Never-married;Adm-clerical;Own-child;White;Female
16150;Private;10th;Divorced;Machine-op-inspct;Not-in-family;White;Female
16151;Private;Some-college;Never-married;Machine-op-inspct;Own-child;Asian-Pac-Islander;Male
16152;?;HS-grad;Married-civ-spouse;?;Wife;White;Female
16153;Private;Masters;Never-married;Sales;Not-in-family;White;Male
16154;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male
16155;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Female
16156;?;Some-college;Never-married;?;Own-child;White;Female
16157;Self-emp-not-inc;Some-college;Divorced;Sales;Not-in-family;White;Female
16158;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
16159;Private;11th;Married-civ-spouse;Machine-op-inspct;Own-child;White;Female
16160;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
16161;Federal-gov;HS-grad;Widowed;Adm-clerical;Unmarried;White;Female
16162;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
16163;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male
16164;Private;HS-grad;Separated;Craft-repair;Not-in-family;White;Male
16165;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
16166;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;Black;Male
16167;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
16168;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
16169;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male
16170;Private;7th-8th;Married-civ-spouse;Transport-moving;Husband;White;Male
16171;Private;Bachelors;Divorced;Exec-managerial;Unmarried;White;Female
16172;Private;Some-college;Never-married;Machine-op-inspct;Not-in-family;White;Male
16173;Private;HS-grad;Separated;Adm-clerical;Unmarried;White;Female
16174;?;Some-college;Never-married;?;Own-child;White;Male
16175;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
16176;Private;Assoc-voc;Divorced;Tech-support;Not-in-family;White;Male
16177;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
16178;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
16179;Private;HS-grad;Divorced;Adm-clerical;Other-relative;Amer-Indian-Eskimo;Female
16180;?;Some-college;Never-married;?;Other-relative;White;Female
16181;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male
16182;Local-gov;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
16183;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16184;Private;7th-8th;Married-civ-spouse;Exec-managerial;Husband;Amer-Indian-Eskimo;Male
16185;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
16186;?;Some-college;Never-married;?;Own-child;White;Female
16187;Private;HS-grad;Never-married;Farming-fishing;Own-child;Black;Male
16188;Federal-gov;HS-grad;Never-married;Exec-managerial;Unmarried;Black;Female
16189;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16190;Private;11th;Never-married;Adm-clerical;Not-in-family;White;Female
16191;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Male
16192;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
16193;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;Asian-Pac-Islander;Female
16194;Private;Assoc-voc;Never-married;Tech-support;Own-child;White;Female
16195;Private;Masters;Never-married;Adm-clerical;Not-in-family;White;Male
16196;Private;11th;Never-married;Sales;Unmarried;White;Male
16197;?;Some-college;Divorced;?;Not-in-family;White;Female
16198;Private;7th-8th;Widowed;Other-service;Unmarried;Amer-Indian-Eskimo;Female
16199;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
16200;Private;HS-grad;Never-married;Farming-fishing;Own-child;White;Male
16201;State-gov;Some-college;Never-married;Adm-clerical;Other-relative;White;Female
16202;Private;HS-grad;Married-civ-spouse;Prof-specialty;Husband;White;Male
16203;Private;Some-college;Never-married;Adm-clerical;Other-relative;White;Male
16204;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16205;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
16206;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16207;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
16208;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16209;Local-gov;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Male
16210;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male
16211;Private;9th;Married-civ-spouse;Other-service;Husband;White;Male
16212;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
16213;?;Bachelors;Never-married;?;Unmarried;White;Female
16214;Private;HS-grad;Never-married;Sales;Own-child;Amer-Indian-Eskimo;Male
16215;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female
16216;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male
16217;Private;HS-grad;Never-married;Other-service;Other-relative;Other;Male
16218;Private;Some-college;Married-civ-spouse;Exec-managerial;Wife;White;Female
16219;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male
16220;Private;HS-grad;Never-married;Machine-op-inspct;Not-in-family;White;Male
16221;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16222;?;Some-college;Never-married;?;Own-child;White;Female
16223;Private;HS-grad;Never-married;Sales;Own-child;Black;Male
16224;Self-emp-not-inc;11th;Never-married;Farming-fishing;Own-child;Black;Male
16225;Self-emp-not-inc;Some-college;Never-married;Craft-repair;Not-in-family;White;Male
16226;Private;9th;Married-civ-spouse;Craft-repair;Husband;Black;Male
16227;Private;11th;Never-married;Sales;Own-child;White;Male
16228;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16229;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male
16230;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
16231;Private;HS-grad;Separated;Machine-op-inspct;Unmarried;White;Female
16232;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16233;Private;Some-college;Never-married;Other-service;Own-child;White;Male
16234;Self-emp-not-inc;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
16235;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male
16236;Private;9th;Never-married;Other-service;Not-in-family;Black;Male
16237;Private;Assoc-voc;Never-married;Machine-op-inspct;Not-in-family;White;Male
16238;Federal-gov;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16239;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
16240;Self-emp-not-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male
16241;Private;Assoc-voc;Never-married;Craft-repair;Not-in-family;White;Male
16242;Private;Assoc-voc;Divorced;Exec-managerial;Not-in-family;White;Male
16243;Self-emp-not-inc;HS-grad;Separated;Other-service;Other-relative;White;Female
16244;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16245;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16246;Private;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
16247;Self-emp-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
16248;Private;Assoc-voc;Divorced;Craft-repair;Not-in-family;White;Male
16249;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
16250;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male
16251;Private;9th;Never-married;Craft-repair;Own-child;White;Male
16252;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
16253;Private;HS-grad;Married-civ-spouse;Exec-managerial;Wife;White;Female
16254;Private;HS-grad;Divorced;Handlers-cleaners;Unmarried;White;Male
16255;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
16256;Private;11th;Widowed;Tech-support;Unmarried;White;Female
16257;Private;10th;Married-spouse-absent;Craft-repair;Unmarried;White;Male
16258;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
16259;Private;HS-grad;Separated;Adm-clerical;Not-in-family;White;Male
16260;Self-emp-not-inc;Bachelors;Married-civ-spouse;Craft-repair;Husband;White;Male
16261;Self-emp-not-inc;Doctorate;Divorced;Adm-clerical;Other-relative;Other;Male
16262;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16263;Local-gov;Some-college;Never-married;Protective-serv;Own-child;White;Male
16264;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
16265;Self-emp-inc;Assoc-acdm;Married-civ-spouse;Exec-managerial;Husband;White;Male
16266;Local-gov;Masters;Widowed;Prof-specialty;Not-in-family;White;Female
16267;Private;HS-grad;Separated;Craft-repair;Unmarried;Black;Female
16268;Federal-gov;Bachelors;Never-married;Prof-specialty;Own-child;White;Female
16269;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
16270;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
16271;Private;7th-8th;Widowed;Other-service;Not-in-family;Black;Female
16272;Private;Assoc-voc;Never-married;Transport-moving;Own-child;White;Male
16273;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male
16274;Private;Assoc-voc;Married-civ-spouse;Exec-managerial;Husband;White;Male
16275;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16276;Private;HS-grad;Divorced;Sales;Not-in-family;White;Female
16277;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16278;Private;Some-college;Divorced;Prof-specialty;Not-in-family;Black;Male
16279;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female
16280;Private;Assoc-voc;Never-married;Craft-repair;Own-child;White;Male
16281;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male
16282;Private;Assoc-voc;Married-civ-spouse;Exec-managerial;Husband;White;Male
16283;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
16284;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
16285;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
16286;Private;12th;Married-civ-spouse;Prof-specialty;Husband;White;Male
16287;Private;Assoc-acdm;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16288;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
16289;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
16290;Private;HS-grad;Divorced;Sales;Not-in-family;White;Male
16291;Private;HS-grad;Never-married;Protective-serv;Own-child;White;Male
16292;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16293;?;10th;Divorced;?;Not-in-family;White;Male
16294;Private;12th;Never-married;Adm-clerical;Not-in-family;White;Female
16295;?;HS-grad;Married-civ-spouse;?;Husband;White;Male
16296;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
16297;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Male
16298;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16299;Private;Some-college;Never-married;Sales;Own-child;White;Female
16300;Private;Some-college;Never-married;Sales;Own-child;White;Female
16301;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16302;Private;Masters;Divorced;Exec-managerial;Own-child;White;Female
16303;Self-emp-not-inc;HS-grad;Widowed;Exec-managerial;Not-in-family;White;Male
16304;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male
16305;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16306;Private;Some-college;Widowed;Adm-clerical;Unmarried;White;Female
16307;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;Black;Female
16308;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
16309;Private;Some-college;Never-married;Other-service;Not-in-family;White;Male
16310;Private;HS-grad;Married-civ-spouse;Tech-support;Husband;White;Male
16311;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
16312;State-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
16313;Private;11th;Never-married;Other-service;Own-child;White;Female
16314;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female
16315;Local-gov;HS-grad;Divorced;Adm-clerical;Unmarried;Black;Female
16316;Private;HS-grad;Separated;Handlers-cleaners;Not-in-family;White;Male
16317;Private;Bachelors;Never-married;Prof-specialty;Own-child;White;Female
16318;Private;9th;Never-married;Other-service;Own-child;Black;Male
16319;Private;HS-grad;Never-married;Other-service;Own-child;Black;Male
16320;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;Black;Male
16321;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
16322;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;Black;Female
16323;Private;Some-college;Divorced;Sales;Other-relative;White;Female
16324;Local-gov;Some-college;Widowed;Other-service;Not-in-family;White;Female
16325;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
16326;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male
